question	answer
What happens when you cut down a tree?	It falls down … what were you expecting?
What’s a pirate’s favourite letter?	One from their family, they probably haven’t seen them in a while.
How do you raise a child?	You lift them up.
What’s the best thing about a wallet full of money?	The money.
What’s red and bad for your teeth?	A brick.
I don’t look anything like my father …	Probably because he’s covered in soil.
What’s white and annoying at dinner?	An avalanche.
What do you call a teacher who gives out too much homework?	Horrible.
What happened to the lost boy when he arrived home?	He was no longer lost.
What do you call an awful thief named Tom who goes around scaring kids and the elderly?	Tom.
There are two kinds of people in the world …	Dead and alive.
What did one bear say to the other?	Nothing, bears can’t talk.
What’s the capital of Great Britain?	London.
What sort of butterfly has beautiful wings but can’t fly?	A dead one.
What happened when the man walked into the bar?	He ordered a drink.
I heard a really funny joke today …	But I can’t remember it now.
What do a dog and an apple have in common?	Not much actually.
I might not be one to fly to the moon …	But if I did, I’d be called an astronaut.
Why don’t you put toast in the bathtub?	Because it will get soggy, ew.
Why did the woman carry an umbrella with her?	Because she thought it was going to rain.
What do you get when you mix pineapple and melon?	A pineapple and melon fruit salad.
What happens when you fill your shoe with water?	The shoe gets wet.
Do you know my biggest secret?	Of course, you don’t because I’ve not told you.
What do you call someone dressed as a clown who falls down the stairs?	An ambulance.
Want to hear a joke about the end of the world?	Yeah, me neither.
What did the German man say to the other German man?	I don’t know, I don’t speak German.
What’s worse than a mosquito bite?	Two mosquito bites.
What do you call an octopus with one eye?	An octopus.
What’s worse than overcooked steak?	Death.
What’s blue and smells like red paint?	Blue paint.
What did the grape say when it got stepped on?	Nothing, but it let out a little whine.
I used to be a banker …	But I lost interest.
Did you hear about the crime that happened in a parking garage?	It was wrong on so many levels.
A hole has been found in the nudist camp wall …	The police are looking into it.
What did the postman say when he misplaced all of his mail?	Where’s my mail.
Why did was the dog escorted out of the bar?	Because animals weren’t allowed inside.
How do you make antifreeze?	You take away her blanket.
What do you call a woman who flies a plane?	A pilot.
Why can’t T-Rex clap their hands?	Because they’re extinct.
I’ll never forget what my grandfather said before he kicked the bucket …	Hey, want to see how far I kick this bucket?
What’s funnier than having the flu?	Most things really.
What’s brown and sticky?	Mud.
Why did the old man go to the beach?	Because he felt like it.
What’s white and can’t jump?	A fridge.
Knock, knock …	Come on in.
What did Batman say to Robin when they got in the Batmobile?	Get in the Batmobile.
What’s the worst thing about being a woman in the police force?	The discrimination.
What ended the year 2000?	The year 2021.
What happens when you pass your driving test?	You don’t fail.
What do you call a cat with no legs?	A cat.
A bartender walks into a bar …	He was off work for the night and wanted to enjoy a drink.
How many introverts does it take to change a lightbulb?	One, unless they require assistance for some reason.
Friends are like bananas …	If you peel their skin and eat them, they die.
Why did the waiter spit in the soup?	Because he was an awful waiter.
Mary had a little lamb …	The doctor fainted.
What does a wardrobe and a table have in common?	Neither are a chair.
What did the little boy do in the cold weather?	He put his coat on.
What happens every 60 minutes?	An hour passes.
What’s big, smells awful, and has 120,000 wings?	A box of 60,000 dead flies.
How did the little girl make the cake?	With ingredients.
What’s red and green with black bits inside?	A watermelon.
What is the name of a man who always knows where his wife is?	A widower.
A duck walks into a bar …	And doesn’t say anything because it’s a duck.
What is small, grey, and triangular?	The shadow of a small triangle.
Why did the kid cross the playground?	To get to the other side.
Why did the guy walk into the bank wearing a black ski mask?	Because his white one was in the laundry.
What do you get if you take your age and add five years to it?	Your age plus five years.
A wasp flies into a bar …	The barman swats it.
How do you get rid of a cold?	Turn the heating on.
People are like drums …	If you hit them with a stick, they’ll make a noise.
Eating clocks is really time-consuming…	Especially when you go back for seconds.
What did people call the little boy?	James … because that was his name.
Want to hear something that will make you smile?	Your face muscles.
What’s a ghost’s favourite meal?	There isn’t one because ghosts aren’t real.
What’s a pirate’s favourite letter?	There isn’t one, scientists believe most pirates were probably illiterate.
What do you call cheese that isn’t your cheese?	Stolen cheese.
What is worse than finding a worm in your apple?	Choking on your apple.
Why don’t dinosaurs talk?	Because they’re extinct.
What’s something penguins have that other animals don’t have?	Baby penguins.
What’s tasty but ugly?	A squashed birthday cake.
What did the lawyer say to the other lawyer?	We are both lawyers.
Why did the lady buy a banana?	So that she could eat it.
Why didn’t the octopus have any friends?	Because by nature, they’re anti-social animals.
Hey, the eighteen-hundreds called …	They were really excited about inventing the phone that could call the future.
Want to hear two short jokes and a long one?	Joke, joke, joooooooke.
If you ever get cold, stand in a corner for a while ….	They’re usually 90 degrees.
Who told the giraffe he couldn’t go to the ballet?	I’m not sure who, I suppose it was the people who are in charge of that decision.
Two men walk into a bar …	Which is really stupid, you thought the second man would’ve seen it.
My friend invited me to their house because nobody was there …	When I arrived, they weren’t there and the house was empty.
What’s black and white and eats like a horse?	A zebra.
Why don’t vampires like garlic?	Because you have to exist to like garlic.
What’s red, green, yellow, and orange?	Colours.
Guess what I saw today?	All the things I looked at.
What do you call a lamp that talks?	An imaginary lamp.
What is the oddest thing you can think of?	Numbers that can’t be divided by two.
What did the policeman say when he pulled over a driver?	Words.
How can you tell if it’s sunny outside?	By looking out of the window.
What happened to the elephant in the taxi?	Nothing. It didn’t happen because elephants don’t fit into taxis.
What do you call a boomerang that doesn’t come back?	A stick.
What do a joke and a plate of fries have in common?	Some people don’t get them!
